filename,monkey,collection,start,end,call
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,0.000,89.495,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,89.495,89.658,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,89.658,95.408,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,95.408,95.541,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,95.541,101.500,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,101.500,101.620,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,101.620,109.644,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,109.644,109.764,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0B.wav,blue,murphy,109.764,420.493,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,0.000,85.369,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,85.369,85.481,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,85.481,92.662,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,92.662,92.719,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,92.719,101.241,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,101.241,101.294,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,101.294,114.159,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,114.159,114.216,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,114.216,124.505,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,124.505,124.589,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0E.wav,blue,murphy,124.589,460.278,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,0.000,77.609,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,77.609,77.723,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,77.723,86.675,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,86.675,86.809,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,86.809,94.700,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,94.700,94.847,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,94.847,111.803,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,111.803,111.955,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/0H.wav,blue,murphy,111.955,420.885,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/10G.wav,blue,murphy,0.000,87.714,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/10G.wav,blue,murphy,87.714,87.793,HACK
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/10G.wav,blue,murphy,87.793,401.319,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/24.wav,blue,murphy,0.000,245.011,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/24.wav,blue,murphy,245.011,245.108,HACK
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/24.wav,blue,murphy,245.108,540.604,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/73.wav,blue,murphy,0.000,301.352,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/73.wav,blue,murphy,301.352,301.532,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/73.wav,blue,murphy,301.532,310.153,SIL
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/73.wav,blue,murphy,310.153,310.293,PYOW
/Users/mwv/data/monkey_sounds/Blue_monkeys/audio/73.wav,blue,murphy,310.293,321.476,SIL
